time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
['2022-11-01'],[16.6],[12.7],[14.0],[7.5],['2022-11-01T07:31'],['2022-11-01T17:13'],[6.92],[2.4],[2.4],[0.0],[7.0],[31.0],[54.4],[251],[2.21]
['2022-11-09'],[14.5],[10.3],[11.3],[7.3],['2022-11-09T07:45'],['2022-11-09T16:59'],[5.44],[0.3],[0.3],[0.0],[2.0],[29.5],[58.3],[230],[1.37]
['2022-10-19'],[13.9],[6.1],[11.0],[3.3],['2022-10-19T07:08'],['2022-10-19T17:39'],[7.49],[0.0],[0.0],[0.0],[0.0],[19.2],[38.5],[3],[1.17]
['2022-09-29'],[14.9],[3.8],[13.9],[1.5],['2022-09-29T06:34'],['2022-09-29T18:23'],[11.05],[0.6],[0.6],[0.0],[3.0],[9.7],[15.5],[219],[1.51]
['2022-04-14'],[17.8],[8.0],[16.1],[6.5],['2022-04-14T05:42'],['2022-04-14T19:35'],[16.64],[0.7],[0.7],[0.0],[6.0],[14.3],[28.4],[168],[2.59]
['2022-11-15'],[12.4],[6.5],[9.6],[3.8],['2022-11-15T07:55'],['2022-11-15T16:51'],[2.19],[5.9],[5.9],[0.0],[14.0],[19.9],[39.2],[286],[0.65]
['2022-10-04'],[18.2],[8.8],[16.1],[6.8],['2022-10-04T06:43'],['2022-10-04T18:12'],[12.02],[0.0],[0.0],[0.0],[0.0],[16.7],[34.6],[250],[1.92]
['2022-07-21'],[19.2],[15.8],[20.3],[15.5],['2022-07-21T04:43'],['2022-07-21T20:46'],[6.12],[9.5],[9.5],[0.0],[12.0],[22.4],[40.7],[190],[1.06]
['2022-06-22'],[24.9],[10.9],[24.1],[9.8],['2022-06-22T04:18'],['2022-06-22T21:03'],[28.28],[0.0],[0.0],[0.0],[0.0],[13.2],[31.7],[52],[5.39]
['2022-11-14'],[8.7],[2.7],[5.7],[-0.7],['2022-11-14T07:54'],['2022-11-14T16:52'],[5.4],[0.0],[0.0],[0.0],[0.0],[12.8],[27.7],[313],[0.58]
